start,end
5972205898678,5972206408839
5972206918463,5972207426216
5972207894044,5972208541648
5972208896977,5972209427138
5972209923002,5972210515236
5972210898565,5972211475077
5972211843962,5972212216495
5972212832618,5972213136540
5972213825236,5972214110547
5972214823965,5972215107925
5972215823769,5972216157283
5972216831072,5972217155828
5972217826190,5972218126594
5972218822790,5972219168657
5972219835001,5972220268014
5972220836063,5972221166689
5972221915551,5972222485619
5972222908188,5972223472589
5972223893862,5972224687816
5972224915554,5972225516066
5972225908265,5972226445370
5972226893920,5972227420433
5972227895150,5972228489217
5972228909472,5972229463873
5972229905534,5972230611545
5972230921819,5972231497627
5972231869382,5972232375506
5972232833427,5972233152609
5972233828064,5972234129764
5972234830219,5972235130993
5972235818060,5972236150130
5972236827178,5972237126600
5972237826537,5972238111423
5972238831840,5972239156633
5972239826940,5972240179399
5972240843410,5972241172462
5972241831121,5972242130358
5972242900609,5972243451065
5972243901338,5972244662681
5972244921530,5972245499616
5972245901982,5972246428254
5972246905748,5972247440279
5972247891941,5972248553007
5972248897837,5972249469330
5972249904585,5972250510485
5972250913981,5972251582380
5972251915932,5972252601128
5972252846644,5972253144140
5972253818336,5972254090574
5972254817010,5972255081878
5972255821721,5972256133736
5972256823710,5972257107577
5972257820439,5972258087917
5972258820705,5972259134739
5972259820546,5972260164598
5972260826609,5972261156142
5972261826319,5972262122205
5972262934214,5972263508485
5972263903351,5972264715916
5972264911247,5972265518759
5972265917477,5972266587395
5972266912354,5972267551773
5972267899084,5972268562854
5972268892054,5972269462232
5972269901320,5972270478054
5972270906272,5972271552524
5972271894538,5972272547123
5972272815768,5972273148079
5972273830442,5972274134661
5972274815116,5972275105094
5972275812957,5972276149230
5972276818186,5972277122238
5972277816156,5972278100597
5972278819348,5972279128308
5972279812522,5972280203999
5972280824622,5972281156674
5972281839092,5972282179051
5972282818562,5972283133707
5972283886105,5972284629819
5972284903631,5972285474106
5972285882120,5972286478446
5972286903034,5972287459843
5972287883393,5972288475905
5972288884345,5972289430635
5972289887315,5972290436086
5972290881785,5972291404501
5972291965532,5972292689283
5972292911243,5972293514255
5972293832733,5972294134007
5972294830833,5972295108496
5972295815803,5972296134929
5972296821255,5972297102955
5972297815521,5972298084425
5972298812269,5972299122599
5972299813313,5972300160568
5972300820228,5972301119539
5972301821753,5972302126231
5972302829334,5972303119535
5972303829656,5972304197893
5972304835700,5972305161956
5972305834078,5972306133371
5972306829104,5972307166452
5972307828185,5972308213588
5972308832081,5972309153040
5972309818570,5972310111603
5972310820725,5972311117647
5972311822862,5972312276579
5972312831535,5972313143754
5972313896616,5972314465795
5972314890401,5972315448450
5972315881778,5972316497846
5972316894341,5972317480538
5972317893793,5972318475156
5972318898559,5972319536218
5972319896474,5972320570633
5972320894481,5972321459363
5972321897821,5972322550462
5972322897421,5972323456396
5972323837058,5972324241146
5972324826436,5972325128321
5972325812184,5972326091366
5972326816061,5972327092651
5972327805698,5972328133176
5972328817224,5972329123387
5972329816712,5972330108543
5972330815553,5972331102013
5972331813282,5972332254963
5972332826271,5972333151230
5972333892166,5972334500863
5972334895581,5972335474852
5972335891143,5972336598561
5972336905595,5972337462755
5972337888954,5972338421966
5972338889035,5972339415696
5972339882728,5972340508591
5972340899457,5972341447469
5972341888353,5972342531790
5972342891564,5972343434632
5972343851442,5972344231678
5972344821634,5972345125020
5972345817660,5972346119416
5972346813056,5972347105701
5972347813415,5972348152374
5972348824052,5972349169511
5972349818244,5972350115074
5972350828640,5972351122507
5972351818388,5972352176717
5972352836080,5972353152706
5972353815439,5972354112843
5972354894909,5972355457680
5972355885564,5972356473743
5972356889830,5972357409362
5972357884467,5972358393054
5972358888030,5972359396024
5972359887630,5972360470604
5972360890118,5972361441705
5972361885588,5972362410027
5972362888892,5972363532699
5972363904251,5972364616076
5972364829333,5972365178588
5972365833377,5972366149484
5972366831180,5972367132844
5972367825891,5972368203813
5972368821639,5972369132432
5972369826850,5972370115773
5972370819024,5972371414758
5972371843494,5972372240174
5972372826705,5972373137275
5972373820860,5972374110394
5972374895626,5972375453045
5972375890096,5972376596162
5972376900399,5972377432430
5972377890351,5972378426900
5972378881673,5972379465481
5972379884772,5972380535561
5972380904076,5972381483199
5972381891213,5972382440947
5972382891516,5972383530101
5972383891968,5972384739421
5972384848346,5972385201416
5972385824872,5972386119035
5972386816323,5972387092413
5972387813108,5972388125401
5972388821393,5972389113464
5972389815382,5972390098434
5972390822093,5972391114200
5972391815840,5972392199429
5972392826829,5972393132955
5972393835040,5972394191202
5972394821658,5972395119747
5972395899757,5972396529935
5972396893801,5972397428721
5972397883549,5972398401710
5972398885038,5972399495901
5972399889915,5972400515538
5972400898200,5972401449638
5972401891930,5972402423349
5972402876807,5972403414357
5972403886425,5972404523992
5972404895229,5972405471093
5972405816700,5972406126048
5972406816892,5972407100092
5972407808677,5972408119599
5972408811369,5972409102496
5972409814988,5972410091355
5972410816735,5972411099325
5972411810594,5972412122535
5972412825268,5972413122339
5972413816664,5972414175068
5972414824060,5972415124557
5972415890770,5972416612373
5972416902870,5972417476937
5972417884322,5972418452352
5972418879347,5972419642505
5972419890003,5972420521495
5972420896861,5972421464522
5972421886313,5972422454677
5972422892709,5972423454055
5972423886939,5972424617967
5972424908612,5972425541586
5972425857675,5972426185320
5972426819387,5972427101143
5972427813783,5972428101761
5972428816049,5972429103546
5972429812001,5972430092627
5972430809323,5972431087097
5972431806460,5972432104641
5972432810337,5972433100908
5972433818659,5972434105415
5972434814259,5972435125070
5972435889302,5972436550832
5972436899087,5972437498506
5972437889372,5972438476754
5972438891712,5972439559371
